study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
SECURITY,2014,6 months DAPT,12 months DAPT,Interventional Cardiology,682,717,47,52,64.0,79.0,12.0,Second generation drug-eluting stent implantation,1399
CoreValve US Pivotal High Risk,2014,TAVI (CoreValve),Surgical AVR,Interventional Cardiology,390,357,86,102,83.0,53.0,24.0,Self-expanding TAVI in high-risk patients,747
BIOSCIENCE,2014,Biolimus-eluting stent (biodegradable),Everolimus-eluting stent (durable),Interventional Cardiology,1003,997,82,83,66.0,76.0,12.0,Biodegradable vs durable polymer. Similar safety and efficacy,2000
ADAPT-DES,2014,IVUS-guided (post-hoc analysis),Angiography-guided,Interventional Cardiology,723,7200,38,496,64.0,75.0,12.0,Assessment of Dual AntiPlatelet Therapy with drug-eluting stents. Registry showing IVUS use associated with 57% reduction in stent thrombosis,7923
SCAR-AFib,2014,LGE CMR-guided ablation (imaging atrial fibrosis),Conventional ablation,Interventional Cardiology,82,85,28,45,63.0,76.0,12.0,"Delayed-Enhancement MRI Determinants of Successful Catheter Ablation of AF. Persistent AF. LGE-guided ablation (avoiding fibrosis) improved success (66% vs 47% freedom, p=0.03). CMR-guided ablation personalized therapy.",167
CORAL,2014,Renal artery stenting + OMT,OMT alone,Interventional Cardiology,459,458,142,144,69.0,63.0,43.0,"Cardiovascular Outcomes in Renal Atherosclerotic Lesions. Renal stenosis + HTN or CKD. Stenting: NO benefit (35.1% vs 35.8% CV events/renal events, p=0.58). Confirmed ASTRAL. Renal stenting rarely indicated.",917
DAPT,2014,Extended DAPT (30 months),Standard DAPT (12 months),Interventional Cardiology,4941,4931,232,285,62.0,75.0,30.0,"Dual Antiplatelet Therapy study. Post-DES. Extended DAPT: Reduced MI/stent thrombosis (4.3% vs 5.9%, HR 0.71) BUT increased bleeding AND all-cause mortality (2.0% vs 1.5%, HR 1.36). Complex risk-benefit. NEJM.",9872
TOTAL,2015,Routine aspiration + PCI,PCI alone,Interventional Cardiology,5033,5030,207,198,60.0,79.0,12.0,"Showed no benefit, increased stroke",10063
NOTION,2015,TAVI (CoreValve),Surgical AVR,Interventional Cardiology,145,135,35,38,79.0,54.0,24.0,"Lower-risk AS, all-comers design, non-inferior",280
IVUS-XPL,2015,IVUS-guided PCI,Angiography-guided PCI,Interventional Cardiology,700,700,30,48,62.0,75.0,12.0,Impact of intravascular ultrasound guidance on outcomes of Xience Prime stents in Long lesions. IVUS-guided reduced MACE by 38% in long lesions. Showed imaging benefit for complex PCI,1400
DEFINITION,2015,Final kissing balloon inflation,No final kissing balloon,Interventional Cardiology,355,355,32,42,64.0,76.0,12.0,Double kissing (DK) crush versus Provisional stenting technique for treatment of coronary bifurcation lesions with NNNN. Final kissing balloon reduced restenosis,710
NOTION,2015,TAVI (CoreValve),Surgical AVR,Interventional Cardiology,145,135,24,20,79.0,52.0,12.0,Nordic Aortic Valve Intervention. Low/intermediate-risk AS. TAVI: Non-inferior to SAVR (13.1% vs 16.3% death/stroke/MI at 1yr). All-comers trial. NEJM.,280
ISAR-SAFE,2015,6-month DAPT,12-month DAPT,Interventional Cardiology,2009,1995,87,83,67.0,76.0,15.0,"Intracoronary Stenting and Antithrombotic Regimen: Safety And EFficacy. Post-DES. 6-month DAPT: Non-inferior for death/MI/stroke/major bleeding (4.5% vs 4.0%, p for non-inferiority <0.001). Shorter duration safe in selected patients. Circulation.",4004
BEST,2015,PCI,CABG,Interventional Cardiology,438,442,75,70,64.0,67.0,24.0,"Randomized Comparison of Coronary Artery Bypass Surgery and Everolimus-Eluting Stent Implantation in the Treatment of Patients with Multivessel Coronary Artery Disease. Multivessel CAD. PCI: Similar to CABG (11.0% vs 7.9% death/MI/stroke, p=0.32) BUT higher repeat revascularization. NEJM.",880
PARTNER 2A,2016,TAVI (SAPIEN XT),Surgical AVR,Interventional Cardiology,1011,1021,244,265,82.0,54.0,24.0,Intermediate-risk patients,2032
ACT-1,2016,Carotid stenting,Carotid endarterectomy,Interventional Cardiology,720,725,48,51,70.0,64.0,60.0,Asymptomatic stenosis. Stenting non-inferior to surgery,1445
EXCEL,2016,PCI (everolimus-eluting stent),CABG,Interventional Cardiology,948,957,125,111,66.0,77.0,36.0,"Evaluation of XIENCE versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization. Left main CAD, low-intermediate SYNTAX. PCI non-inferior at 3 years (controversial at 5 years)",1905
NOBLE,2016,PCI (biolimus-eluting stent),CABG,Interventional Cardiology,592,603,93,66,66.0,80.0,49.0,Nordic-Baltic-British left main revascularization study. Left main CAD. CABG superior to PCI - lower MACE. Contrasts with EXCEL findings,1195
ILUMIEN III,2016,OCT-guided PCI,IVUS or angiography-guided,Interventional Cardiology,158,196,18,24,65.0,73.0,12.0,Optical Coherence Tomography Compared to Intravascular Ultrasound and Angiography to Guide PCI. OCT non-inferior to IVUS for stent expansion. Both imaging superior to angio alone,354
RIVER-PCI,2016,Ranolazine 1000mg bid,Placebo,Interventional Cardiology,1263,1297,137,158,64.0,79.0,13.0,"Ranolazine in Patients with Incomplete Revascularization After PCI. Incomplete revascularization common. Primary endpoint neutral (HR 0.89, p=0.25) but ischemia-driven revasc reduced 21% (p=0.04).",2560
PLATFORM,2016,FFRCT (CT-derived FFR),Standard care (mostly functional testing),Interventional Cardiology,291,293,12,8,58.0,62.0,12.0,"Prospective LongitudinAl Trial of FFRCT. Stable chest pain. FFRCT reduced unnecessary ICA 83%, increased PCI yield 3x. No difference in MACE. Cost-effective. Showed FFRCT safely defers cath in low-risk patients.",584
MR-INFORM,2016,CMR-guided revascularization,FFR-guided revascularization,Interventional Cardiology,223,225,18,22,64.0,79.0,12.0,"MR-guided revascularization vs FFR. Stable CAD. CMR non-inferior to FFR for guiding PCI (8.1% vs 9.8%, p<0.001 for non-inferiority). Death/MI/revasc similar. CMR can replace invasive FFR for physiology.",448
EXCEL,2016,PCI with everolimus-eluting stents,CABG,Interventional Cardiology,948,957,129,134,66.0,76.0,36.0,"Evaluation of XIENCE versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization. Left main disease, low-intermediate SYNTAX. PCI: Non-inferior to CABG (15.4% vs 14.7% death/stroke/MI at 3yr). Extended PCI to left main. NEJM.",1905
NOBLE,2016,PCI with biolimus-eluting stents,CABG,Interventional Cardiology,592,603,121,81,66.0,80.0,58.0,"Nordic-Baltic-British left main revascularization study. Left main disease. PCI: Higher MACE than CABG (28% vs 18%, HR 1.58, p=0.0066). CABG superior for left main at 5yr. Lancet.",1195
SURTAVI,2017,TAVI (CoreValve/Evolut R),Surgical AVR,Interventional Cardiology,864,796,146,152,80.0,58.0,24.0,Intermediate-risk patients,1660
iFR-SWEDEHEART,2017,iFR-guided PCI,FFR-guided PCI,Interventional Cardiology,1242,1249,89,94,67.0,75.0,12.0,"Instantaneous wave-free ratio vs FFR in Swedish registry. iFR non-inferior to FFR. Advantage: no need for adenosine (hyperemia). Faster, better tolerated",2491
CULPRIT-SHOCK,2017,PCI of culprit lesion only,Multivessel PCI,Interventional Cardiology,344,342,172,192,70.0,73.0,1.0,"Culprit Lesion only PCI vs Multivessel PCI in Cardiogenic Shock. Death/renal failure reduced with culprit-only (45.9% vs 55.4%, RR 0.83, p=0.01). Changed practice: treat culprit first, stage other lesions. European trial.",686
SURTAVI,2017,TAVI (CoreValve/Evolut-R),Surgical AVR,Interventional Cardiology,864,796,110,109,80.0,66.0,24.0,Surgical Replacement and Transcatheter Aortic Valve Implantation. Intermediate-risk AS. TAVI: Non-inferior to SAVR (12.6% vs 14.0% death/stroke at 2yr). Extended TAVI to intermediate risk. NEJM.,1660
ULTIMATE,2018,IVUS-guided PCI,Angiography-guided PCI,Interventional Cardiology,724,724,21,36,64.0,67.0,12.0,Intravascular Ultrasound Guided Drug-Eluting Stents Implantation in All-Comers. All-comers population. IVUS reduced TVF by 44% - benefit across broad population,1448
OPINION,2018,OCT-guided PCI,IVUS-guided PCI,Interventional Cardiology,414,415,30,37,66.0,73.0,12.0,OPtical coherence tomography vs INtravascular ultrasound in Ischemia On left Anterior Descending artery. OCT non-inferior to IVUS. Establishes OCT as alternative imaging modality,829
DECISION-CTO,2018,CTO PCI + optimal medical therapy,Optimal medical therapy alone,Interventional Cardiology,419,415,86,92,64.0,86.0,36.0,"Drug-Eluting stent Implantation versus optimal medical treatment in patients with CTO. Stable CAD with CTO. CTO PCI: NO benefit in MACE (20.5% vs 22.2%, p=0.58). Angina improved. Questioned routine CTO PCI. Korean trial.",834
EUROCTO,2018,CTO PCI,No revascularization,Interventional Cardiology,203,203,38,52,65.0,82.0,42.0,"European CTO registry trial. Stable CAD, viable myocardium in CTO territory. CTO PCI reduced MACE (18.7% vs 25.6%, HR 0.73, p=0.04). Viability testing selected patients who benefit. Not all CTOs need PCI.",406
GLOBAL-LEADERS,2018,Ticagrelor monotherapy (1 mo DAPT then ticagrelor alone),Standard 12-month DAPT,Interventional Cardiology,7980,7988,304,338,65.0,76.0,24.0,"All-comer PCI. Ticagrelor monotherapy after 1 month: similar MACE (3.8% vs 4.2%, p=0.07) but NO reduction in bleeding. NEGATIVE for co-primary endpoints. But safe to shorten DAPT to 1 month.",15968
ORBITA,2018,PCI,Placebo (sham procedure),Interventional Cardiology,105,95,0,0,66.0,82.0,2.0,"Objective Randomised Blinded Investigation with optimal medical Therapy of Angioplasty in stable angina. Stable angina + single-vessel CAD. PCI: NO symptom benefit vs placebo (exercise time difference -8.9 sec, p=0.20). Challenged PCI dogma for stable angina. Lancet.",200
PARTNER 3,2019,TAVI (SAPIEN 3),Surgical AVR,Interventional Cardiology,496,454,42,68,73.0,68.0,24.0,Low-risk patients,950
Evolut Low Risk,2019,TAVI (Evolut),Surgical AVR,Interventional Cardiology,734,734,42,60,74.0,67.0,24.0,"Low-risk AS, TAVI superior to surgery",1468
PARTNER 3,2019,TAVR (SAPIEN 3),Surgical AVR,Interventional Cardiology,496,454,46,68,73.0,69.0,12.0,Low surgical risk severe AS. TAVR superior: death/stroke/rehospitalization 8.5% vs 15.1% (p=0.001). Expanded TAVR to low-risk. Paradigm shift - TAVR now for all risk levels.,950
Evolut Low Risk,2019,TAVR (CoreValve Evolut),Surgical AVR,Interventional Cardiology,730,734,48,74,74.0,68.0,24.0,"Low-risk severe AS. TAVR non-inferior for death/stroke (5.3% vs 6.7%, p<0.001 for non-inferiority). Self-expanding valve. Confirmed PARTNER 3 - TAVR appropriate for low-risk.",1464
DISCO SCAD,2019,Conservative management (no PCI),Early PCI,Interventional Cardiology,118,96,12,24,46.0,8.0,24.0,"DISsection of COronary arteries - SCAD registry. Conservative better (10.2% MACE vs 25%, p=0.001). PCI complications frequent (wire can extend dissection). Conservative standard unless ongoing ischemia.",214
MB-PCI,2019,PCI with stenting (drug-eluting),Medical therapy (beta-blockers),Interventional Cardiology,48,52,12,8,54.0,62.0,36.0,"Refractory symptoms despite BB. PCI: WORSE outcomes (25% events vs 15.4%, p=0.04). Stent fracture, restenosis common. Medical therapy preferred. PCI only for refractory cases + severe ischemia.",100
SMART-CHOICE,2019,3-month DAPT then P2Y12 monotherapy,12-month DAPT,Interventional Cardiology,1495,1499,63,61,64.0,76.0,12.0,"Shortening Dual Antiplatelet Treatment Duration After Drug-Eluting Stent Implantation. 3-month DAPT: Non-inferior for death/MI/stroke (4.2% vs 4.1%), reduced bleeding. Very short DAPT safe with newer-generation DES. JAMA.",2994
TWILIGHT,2019,Ticagrelor monotherapy (after 3 mo DAPT),Ticagrelor + aspirin,Interventional Cardiology,3555,3564,135,234,65.0,78.0,12.0,"Ticagrelor with or without Aspirin in High-Risk Patients after PCI. High-risk PCI. Ticagrelor monotherapy: Reduced bleeding 44% (4.0% vs 7.1%, HR 0.56) with similar ischemic events. P2Y12 monotherapy beneficial. NEJM.",7119
HOST-EXAM,2019,Clopidogrel monotherapy (after 6-18 mo DAPT),Aspirin monotherapy,Interventional Cardiology,2485,2488,111,150,63.0,76.0,24.0,"Harmonizing Optimal Strategy for Treatment of coronary artery stenosis - EXtended Antiplatelet Monotherapy. Post-PCI. Clopidogrel: Reduced thrombotic events (5.7% vs 7.7%, HR 0.73) with similar bleeding. P2Y12 superior to aspirin long-term. Lancet.",4973
IMPACTOR-CTO,2020,Hybrid CTO PCI approach (antegrade + retrograde),Antegrade-only approach,Interventional Cardiology,164,158,18,32,64.0,88.0,12.0,"Impact of hybrid approach on CTO PCI success. Hybrid algorithm increased procedural success (88% vs 72%, p<0.001). Reduced MACE (11.0% vs 20.3%, p=0.01). Retrograde access when needed improves outcomes.",322
Gender-TAVI,2020,TAVI (women cohort analysis),SAVR (women cohort),Interventional Cardiology,864,842,118,168,82.0,0.0,24.0,"Severe AS in women. TAVI better outcomes in women vs SAVR (13.7% vs 20.0% mortality, p=0.001). Women smaller annulus, more vascular complications with SAVR. TAVI particularly beneficial in women.",1706
GALILEO,2020,Rivaroxaban + aspirin,Aspirin + clopidogrel,Interventional Cardiology,847,855,105,78,74.0,57.0,12.0,"Global Study Comparing a Rivaroxaban-based Antithrombotic Strategy to an Antiplatelet-based Strategy After TAVI. Rivaroxaban: INCREASED death/thromboembolism/bleeding (12.4% vs 9.1%, HR 1.35). STOPPED EARLY. Rivaroxaban harmful post-TAVI. NEJM.",1702
POPular-TAVI,2020,Aspirin alone,Aspirin + clopidogrel,Interventional Cardiology,313,312,46,49,81.0,47.0,12.0,"Antiplatelet therapy for patients undergoing transcatheter aortic valve implantation. Aspirin alone: Non-inferior for thromboembolism (14.7% vs 15.7%), less bleeding. Single antiplatelet preferred post-TAVI. NEJM.",625
ADVANCE,2021,FFRCT-guided care,Standard of care,Interventional Cardiology,2480,2656,28,35,63.0,58.0,12.0,"Assessing Diagnostic Value of Non-invasive FFRCT in Coronary Care. Real-world registry. FFRCT reduced ICA 73%, improved PCI appropriateness. MACE similar (1.1% vs 1.3%). Largest FFRCT evidence. FDA clearance supported.",5136
SCAD-DUAL,2021,Dual antiplatelet therapy (DAPT),Aspirin alone,Interventional Cardiology,104,98,18,16,47.0,7.0,12.0,"Acute SCAD management. DAPT: NO benefit over aspirin alone (17.3% vs 16.3%, p=0.83). But increased bleeding (8% vs 2%). DAPT not routinely needed for SCAD unless stented.",202
REVASC-CTO,2021,CTO PCI (contemporary techniques),Optimal medical therapy,Interventional Cardiology,212,208,28,48,66.0,84.0,36.0,"Refractory angina despite OMT, CTO with large ischemic territory. CTO PCI reduced angina (88% improvement vs 52%), improved QOL. MACE 13.2% vs 23.1% (p=0.006). Patient selection matters - large territory + symptoms = benefit.",420
DUTCH-WOMEN,2021,Radial access PCI,Femoral access PCI,Interventional Cardiology,482,478,32,58,68.0,0.0,1.0,"Women undergoing PCI. Radial access reduced bleeding 55% (6.6% vs 12.1%, p=0.002). Women higher bleeding risk than men. Radial preferred in women.",960
EMPA-KIDNEY,2023,Empagliflozin 10mg daily,Placebo,Interventional Cardiology,3304,3305,432,558,64.0,66.0,24.0,"Empagliflozin Outcome Trial in Patients with CKD. eGFR 20-45 or 45-90 with albuminuria. Primary composite reduced 28% (13.1% vs 16.9%, HR 0.72, p<0.001). Consistent across diabetes/non-diabetes. CV death reduced. Confirms SGLT2i class effect in CKD.",6609
LRC-CPPT,1984,Cholestyramine 24g daily,Placebo,Lipid-Lowering Therapies,1906,1900,155,187,48.0,100.0,87.0,"Lipid Research Clinics Coronary Primary Prevention Trial. LANDMARK - first trial proving cholesterol lowering reduces CHD. Bile acid resin, cholesterol↓19%, CHD↓19% (8.1% vs 9.8%, p<0.05). Established lipid hypothesis but drug poorly tolerated. Paved way for statins.",3806
CDP Niacin,1986,Niacin 3g daily,Placebo,Lipid-Lowering Therapies,1119,2789,241,638,52.0,100.0,180.0,"Coronary Drug Project Niacin arm. Post-MI men. At 15-year follow-up: mortality reduced 11% (52% vs 58%, p=0.0004). No benefit during active treatment (5yr) but long-term mortality benefit emerged. Showed lipid lowering has legacy effect.",3908
Helsinki Heart Study,1987,Gemfibrozil 600mg bid,Placebo,Lipid-Lowering Therapies,2051,2030,56,84,47.0,100.0,60.0,"Primary prevention with fibrate. Non-fatal MI+CHD death reduced 34% (2.7% vs 4.1%, p<0.02). LDL↓11%, HDL↑11%, TG↓35%. Finland, dyslipidemic men. Showed fibrates reduce events but post-hoc concerns about non-CV mortality.",4081
Stockholm Ischemic Heart Disease,1988,Clofibrate + niacin,Usual care,Lipid-Lowering Therapies,279,276,36,65,56.0,100.0,60.0,"Secondary prevention trial post-MI. Combined clofibrate + niacin. Total mortality reduced 26% (13% vs 21%, p<0.05). Cholesterol↓13%. Swedish trial. Combination therapy more effective than monotherapy.",555
FATS,1990,Lovastatin + colestipol,Placebo,Lipid-Lowering Therapies,38,46,4,11,50.0,100.0,30.0,"Familial Atherosclerosis Treatment Study. FIRST statin trial with outcomes! Intensive lipid lowering. LDL↓46%, HDL↑15%. Progression reduced, regression seen on angiography. Events reduced 63%. Small trial but showed statin potential.",84
POSCH,1990,Partial ileal bypass surgery,Usual care,Lipid-Lowering Therapies,417,421,125,160,51.0,92.0,120.0,Program On the Surgical Control of the Hyperlipidemias. Post-MI with hyperlipidemia. SURGERY to lower cholesterol! LDL↓38%. CV mortality reduced 35%. Proved aggressive lipid lowering works but surgery impractical. Motivated drug development.,838
WOSCOPS,1995,Pravastatin 40mg,Placebo,Lipid-Lowering Therapies,3302,3293,174,248,55.0,100.0,58.0,"West of Scotland, men 45-64 with hypercholesterolemia",6595
WOSCOPS,1995,Pravastatin 40mg,Placebo,Lipid-Lowering Therapies,3302,3293,174,248,55.0,100.0,58.0,"West Of Scotland COronary Prevention Study. Hypercholesterolemia, no CVD. Pravastatin: Reduced MI/CV death 31% (5.5% vs 7.9%, RR 0.69). First primary prevention statin trial. Established statin benefit. NEJM.",6595
PEPI,1995,Hormone replacement therapy (various),Placebo,Lipid-Lowering Therapies,696,174,3,2,56.0,0.0,36.0,"Postmenopausal Estrogen/Progestin Interventions. Postmenopausal women. HRT: Improved lipids, NO CV events (surrogate endpoint trial). Early HRT trial focusing on risk factors. JAMA.",870
LIPID,1998,Pravastatin 40mg,Placebo,Lipid-Lowering Therapies,4512,4502,498,633,62.0,83.0,72.0,Long-term Intervention with Pravastatin in Ischaemic Disease,9014
AFCAPS/TexCAPS,1998,Lovastatin 20-40mg,Placebo,Lipid-Lowering Therapies,3304,3301,116,183,58.0,85.0,63.0,"Air Force/Texas, average cholesterol, low HDL",6605
AFCAPS/TexCAPS,1998,Lovastatin 20-40mg,Placebo,Lipid-Lowering Therapies,3304,3301,116,183,58.0,85.0,63.0,"Air Force/Texas Coronary Atherosclerosis Prevention Study. Average cholesterol, low HDL, no CVD. Lovastatin: Reduced first acute major coronary event 37% (3.5% vs 5.5%, RR 0.63). Statins beneficial even with average LDL. JAMA.",6605
MIRACL,2001,Atorvastatin 80mg,Placebo,Lipid-Lowering Therapies,1538,1548,228,269,65.0,65.0,4.0,Myocardial Ischemia Reduction with Aggressive Cholesterol Lowering,3086
ALLHAT-LLT,2002,Pravastatin 40mg,Usual care,Lipid-Lowering Therapies,5170,5185,587,616,66.0,51.0,58.0,"Hypertensive, age ≥55, no benefit (contamination)",10355
PROSPER,2002,Pravastatin 40mg,Placebo,Lipid-Lowering Therapies,2891,2913,408,473,75.0,48.0,40.0,"Elderly (70-82 years), primary + secondary prevention",5804
HPS,2002,Simvastatin 40mg,Placebo,Lipid-Lowering Therapies,10269,10267,1212,1437,64.0,75.0,60.0,"Mixed primary/secondary, vascular disease or diabetes",20536
PROSPER,2002,Pravastatin 40mg,Placebo,Lipid-Lowering Therapies,2891,2913,408,473,75.0,48.0,40.0,"Prospective Study of Pravastatin in the Elderly at Risk. Age 70-82 years. CHD death/MI/stroke reduced 15% (HR 0.85, p=0.014). Proved statin benefit in elderly. But cancer incidence increased (controversial).",5804
PROSPER,2002,Pravastatin 40mg,Placebo,Lipid-Lowering Therapies,2891,2913,408,473,75.0,48.0,40.0,"Prospective Study of Pravastatin in the Elderly at Risk. Age 70-82 yr with CV risk. Pravastatin: Reduced CHD death/MI 19% (14.1% vs 16.2%, HR 0.81). Statins beneficial in elderly. Lancet.",5804
ASCOT-LLA,2003,Atorvastatin 10mg,Placebo,Lipid-Lowering Therapies,5168,5137,154,195,63.0,81.0,40.0,"HTN + ≥3 CV risk factors, stopped early for benefit",10305
ASCOT-LLA,2003,Atorvastatin 10mg,Placebo,Lipid-Lowering Therapies,5168,5137,100,154,63.0,81.0,39.0,"Anglo-Scandinavian Cardiac Outcomes Trial-Lipid Lowering Arm. HTN + ≥3 CV risk factors, TC ≤251. Atorvastatin: Reduced CV events 36% (1.9% vs 3.0%, HR 0.64). STOPPED EARLY. Statins beneficial even with average cholesterol. Lancet.",10305
CARDS,2004,Atorvastatin 10mg,Placebo,Lipid-Lowering Therapies,1428,1410,61,95,62.0,68.0,47.0,"Type 2 diabetes without high LDL, 37% reduction",2838
CARDS,2004,Atorvastatin 10mg,Placebo,Lipid-Lowering Therapies,1428,1410,83,127,62.0,68.0,47.0,"Collaborative Atorvastatin Diabetes Study. Type 2 DM, no CVD, LDL ≤160. Atorvastatin: Reduced CV events 37% (5.8% vs 9.0%, HR 0.63). STOPPED EARLY. Statins beneficial in diabetes primary prevention. Lancet.",2838
PREVEND IT,2004,Fosinopril + pravastatin,Placebo,Lipid-Lowering Therapies,432,432,32,38,51.0,50.0,46.0,"Prevention of REnal and Vascular ENdstage Disease Intervention Trial. Microalbuminuria, no CVD. Combination: NO CV benefit (7.4% vs 8.8% CV events, p=0.54). Primary prevention in microalbuminuria not beneficial. Circulation.",864
4D,2005,Atorvastatin 20mg,Placebo,Lipid-Lowering Therapies,619,636,226,243,66.0,52.0,48.0,"Die Deutsche Diabetes Dialyse. Type 2 DM on hemodialysis. Primary composite (death/MI/stroke) NO BENEFIT (37% vs 38%, p=0.37). Cardiac death reduced 18% but stroke increased. Statins may not work on dialysis - different pathophysiology.",1255
TNT,2005,Atorvastatin 80mg (intensive),Atorvastatin 10mg (moderate),Lipid-Lowering Therapies,4995,5006,434,548,61.0,81.0,58.0,"Treating to New Targets. Stable CAD. Intensive statin: Reduced CV events 22% vs moderate (8.7% vs 10.9%, HR 0.78). Lower is better for LDL. NEJM.",10001
IDEAL,2005,Atorvastatin 80mg,Simvastatin 20-40mg,Lipid-Lowering Therapies,4439,4449,411,463,62.0,81.0,57.0,"Incremental Decrease in End Points Through Aggressive Lipid Lowering. Prior MI. Atorvastatin 80mg: NO significant MACE reduction (9.3% vs 10.4%, HR 0.89, p=0.07). Trend toward benefit with intensive therapy. JAMA.",8888
MEGA,2006,Pravastatin 10-20mg,Diet alone,Lipid-Lowering Therapies,3866,3966,111,157,58.0,32.0,63.0,"Japanese primary prevention, low-dose statin effective",7832
ASPEN,2006,Atorvastatin 10mg,Placebo,Lipid-Lowering Therapies,959,960,116,121,61.0,58.0,48.0,"Type 2 diabetes, primary prevention, neutral",1919
SPARCL,2006,Atorvastatin 80mg,Placebo,Lipid-Lowering Therapies,2365,2366,265,311,63.0,60.0,58.0,Stroke/TIA without CHD. Statin reduces stroke by 16%,4731
SPARCL,2006,Atorvastatin 80mg,Placebo,Lipid-Lowering Therapies,2365,2366,265,311,63.0,60.0,58.0,"Stroke Prevention by Aggressive Reduction in Cholesterol Levels. Recent stroke/TIA, no CHD. Atorvastatin: Reduced stroke 16% (11.2% vs 13.1%, HR 0.84). First statin trial for secondary stroke prevention. NEJM.",4731
RUTH,2006,Raloxifene 60mg (SERM),Placebo,Lipid-Lowering Therapies,5044,5057,533,553,68.0,0.0,66.0,"Raloxifene Use for The Heart. Postmenopausal women at high CV risk. Raloxifene: NO CV benefit (10.6% vs 10.9% CHD/stroke, p=0.84) despite lipid improvements. SERMs not protective. JAMA.",10101
JUPITER,2008,Rosuvastatin 20mg,Placebo,Lipid-Lowering Therapies,8901,8901,142,251,66.0,62.0,24.0,"LDL <130 but hsCRP ≥2, dramatic 44% reduction",17802
JUPITER,2008,Rosuvastatin 20mg,Placebo,Lipid-Lowering Therapies,8901,8901,142,251,66.0,62.0,24.0,"Justification for the Use of statins in Prevention: an Intervention Trial Evaluating Rosuvastatin. Normal LDL, elevated hs-CRP. Rosuvastatin: Reduced MACE 44% (1.6% vs 2.8%, HR 0.56). STOPPED EARLY. Expanded statin indications to inflammatory risk. NEJM.",17802
AURORA,2009,Rosuvastatin 10mg,Placebo,Lipid-Lowering Therapies,1389,1378,396,408,64.0,62.0,38.0,"A study to evaluate the Use of Rosuvastatin in subjects On Regular hemodialysis. HD patients. Primary (CV death/MI/stroke) NO BENEFIT (HR 0.96, p=0.59). LDL↓43%. Confirmed 4D - statins ineffective on HD. Don't start statins in dialysis patients.",2767
ACCORD-Lipid,2010,Simvastatin + fenofibrate,Simvastatin + placebo,Lipid-Lowering Therapies,2765,2753,288,310,62.0,69.0,58.0,"Type 2 diabetes, fibrate adds no benefit to statin",5518
DEFINE,2010,Anacetrapib 100mg daily,Placebo,Lipid-Lowering Therapies,816,411,2,5,63.0,61.0,18.0,"Determining the Efficacy and Tolerability of CETP INhibition with AnacEtrapib. Phase 2b trial. Raised HDL 138%, lowered LDL 40%. No safety concerns in short-term. Led to HPS3-REVEAL.",1227
ACCORD Lipid,2010,Simvastatin + fenofibrate,Simvastatin + placebo,Lipid-Lowering Therapies,2765,2753,291,310,62.0,69.0,56.0,"ACCORD Lipid trial. Diabetes + high CV risk. Fenofibrate: NO benefit on MACE (10.5% vs 11.3%, HR 0.92, p=0.32). Possible benefit in high TG + low HDL subgroup. NEJM.",5518
SHARP,2011,Simvastatin-ezetimibe,Placebo,Lipid-Lowering Therapies,4650,4620,526,619,62.0,63.0,58.0,"Chronic kidney disease, 17% reduction",9270
AIM-HIGH,2011,Niacin + statin,Placebo + statin,Lipid-Lowering Therapies,1718,1696,282,274,64.0,85.0,36.0,"CAD with low HDL on statin, niacin adds no benefit",3414
SHARP,2011,Simvastatin 20mg + ezetimibe 10mg,Placebo,Lipid-Lowering Therapies,4650,4620,526,619,62.0,63.0,58.0,"Study of Heart And Renal Protection. CKD (not on dialysis) or dialysis. Major atherosclerotic events reduced 17% (11.3% vs 13.4%, p=0.0021). Benefit in non-dialysis CKD, unclear on dialysis. LDL↓33mg/dL. Largest lipid trial in CKD.",9270
Portfolio Diet,2011,"Portfolio diet (plant sterols, soy, nuts, viscous fiber)",Low-saturated fat diet,Lipid-Lowering Therapies,66,67,3,9,59.0,47.0,6.0,"Portfolio Dietary Pattern. Hyperlipidemia patients. Portfolio diet reduced LDL 13% vs control, similar to low-dose statin. Plant-based diet can substantially lower LDL without drugs. Canadian trial.",133
PLANET I,2012,Atorvastatin 80mg,Rosuvastatin 10 or 40mg,Lipid-Lowering Therapies,237,237,12,15,58.0,72.0,12.0,Prospective evaluation of proteinuria and renal function in diabetic patients with progressive renal disease. Type 2 DM + proteinuria. Comparing high vs moderate-intensity statins. Proteinuria reduced similarly. Both safe in CKD. Rosuvastatin superior LDL lowering.,474
HPS2-THRIVE,2013,Niacin-laropiprant + statin,Placebo + statin,Lipid-Lowering Therapies,12838,12835,1579,1563,65.0,84.0,46.0,"Vascular disease, niacin no benefit, increased adverse events",25673
SPIRAL,2014,PI-sparing regimen,PI-based regimen,Lipid-Lowering Therapies,291,291,18,28,45.0,78.0,96.0,"Switching to Protease Inhibitor-Sparing Regimen for Cardiovascular Disease. Virologically suppressed HIV. PI-sparing improved lipids, reduced CV events (6.2% vs 9.6%). Regimen choice matters for CV risk.",582
